english,farsi
insurable,قابل بیمه
insurable,بیمه کردنی
insurable,بیمه شدنی
insurance,بیمه
insurance policy,بیمه نامه
insure,بیمه بدست اوردن
insure,بیمه کردن
insured,بیمه شونده
insured,بیمه شده
insurer,بیمه گر
insurgance,تجاسر
insurgence,یاغی گری
insurgency,یاغی گری
insusceptible,غیر مجهز
insusceptible,غیر حساس
insusceptible,غیر اماده
insusceptible,غیر مستعد
intact,صدمه ندیده
intact,بکر
intake,فرا گرفتگی
intake,جای ابگیری
intangible,درک نکردنی
intangible,نا هویدا
intangible,لمس ناپذیر
integer,عدد تام
integer,عدد صحیح
integer,عدد درست
integral,لاینفک
integral,انتگرال
integral,بی کسر
integral calculus,حساب جامعه
integral part,جز لازم
integral part,جزء لاینفک
integrand,انتگرالده
integrand,انتگران
integrate,اختلاط
integrated,یکپارچه
integration,مجتمع سازی
integration,یکپارچگی
integration,یکپارچگی
integrity,تمامیت
inteligent,تیز هوش
intellect,عقل
intellect,قوه درک
intellect,خرد
intellects,الباب
intellectual,روشنفکر
intellectual,عقلی
intellectual,معنوی
intellectual,ادم باذوق
intellectual,عقلانی
intellectual,روشنفکر
intellectual,عقلایی
intellectualize,عقلانی کردن
intellectuals,روشن فکران
intelligence,درایت
intelligence,شعور
intelligence,اطلاعاتی
intelligence,هوشمندی
intelligence,ذکاء
intelligence,خوشفکری
intelligence,فراست
intelligence,اگاهی
intelligence,مشعر
intelligence,هشیاری
intelligence,هوش
intelligence bureau,اداره اطلاعاتی
intelligence test,ازمایش هوش
intelligent,باشعور
intelligent,با هوش
intelligent,تیز هوش
intelligent,کاردان
intelligent,هوشمند
intelligent,باکله
intelligent,هشیار
intelligent,باهوش
intelligent,عاقل
intelligent,با عقل
intelligent,ذکی
intelligentsia,طبقه روشنفکر
intelligibility,قابلیت فهم
intelligible,مفهوم
intelligible,قابل فهم
intend,قصد داشتن
intend,خیال داشتن
intend,بسیجیدن
intend,قصد کردن
intend to go,اهنگ رفتن کردن
intended,منوی
intended,مورد نظر
intenerate,حساس کردن
intense,شدید
intense cold,زمهریر
intensification,تشدید
intensification,افزون شدگی
intensify,شدید شدن
intensify,شدت گرفتن
intensify,شدید کردن
intensify,شدت یافتن
intensify,تشدید کردن
intensify,تشدید یافتن
intensifying,مشدد
intensity,سختی
intensity,شدت
intent,مرام
intention,اهنگ
intention,منظور
intention,مقصود
intention,عزم
intention,منوی
intention,عمد
intention,سگال
intention,صرافت
intention,غرض
intention,نیت
intention,تعمد
intention,خیال
intention,قصد
intentional,عمدی
intentional,تعمدی
intentional doer,متعمد
intentionally,عمدا
intentionally,عمدا
intentionally,تعمدا
intentions,اغراض
intentions,نیات
inter,مدفون ساختن
interact,متقابلا اثر کردن
interaction,عمل متقابل
interaction,اثر متقابل
interbreed,اصلاح نژاد کردن
intercalate,جا دادن
intercede,شفاعت کردن
intercede,پادر میانی کردن
intercellular,داخل سلولی
intercellular,بین یاختهای
intercellular,بین یاخته ای
intercession,میانگیری
intercession,پادرمیانی
intercessor,پادرمیان
intercessor,شفیع
intercessor,پایمرد
interchange,متناوب ساختن
interchange,جا بجا
interchangeable,قابل معاوضه
interchangeable,قابل مبادله
interchangeable,متبادل
interchangeable,قابل تبادل
interchangeable,مبادله پذیر
interchangeable,قابل مبادله
interchangeable,جابجا پذیر
intercoastal,بین دنده ای
intercommunicate,مراوده داخلی داشتن
intercommunion,ارتباط مشترک
intercommunion,مراوده
intercommunion,اقدام مشترک
interconnect,بهم وصل کردن
interconnect,بهم پیوستن
intercontinental,درون بری
intercourse,مقاربت
intercourse,امیزش
intercultural,بین فرهنگی
intercurrent,مداخله کننده
intercycle,بین چرخهای
interdental,بین دندانی
interdepartmental,بین ادارهای
interdict,محجور کردن
interdicted,محجور
interdiction,محجوریت
interest,صرفه
interest,ربح
interest,جلب توجهکردن
interest,ذینفع کردن
interest,بهره مالک
interest,تنزیل
interest,نفع
interest,علاقه
interest,مصلحت
interest,علاقه مندی
interest,نزول
interest of the country,مصاح عالیه مملکت
interest rate,نرخ بهره
interested,پابست
interested,علاقه مند
interested,پربهره
interested,علاقمند
interested,علاقهمند
interesting,باتماشا
interesting,جالب نظر
interesting,شنیدنی
interesting,جالب
interests,فروع
interests,الائق
interests,منافع
interests,طبایع
interests,طباع
interests,مصالح
interests,علائق
interface,فضال
interfere,مداخله کردن
interfere,پا بمیان گذاشتن
interfere,پارازیت دادن
interfere,دخالت کردن
interfere,دخل و تصرف کردن
interfere,مداخله و فضولی کردن
interfere,دخل و تصرف کردان
interfere with,معارظ شدن
interference,فضولی
interference,تداخل
interference,فضول
interference,مداخله
interference,دخل و تصرف
interference,دخالت
interfering,دخیل
interfering,تداخلی
interfuse,بهم امیختن
intergalactic,بین کهکشانی
intergeneric,بین طبقهای
intergeneric,بین گونهای
intergrowth,رویش توام
Interim Government,دولت انتقالی
interior,اندرون
interior,درون
Interior Minister,وزیر کشور
Interior Minister,وزیرکشور
Interior Ministry,وزارت کشور
interlace,بهم پیچیدن
interline,استر گذاشتن
interlink,مسلسل کردن
interlock,بهم پیچیدن
interlock,بهم پیوستن
interlock,همبند شدن
interlock,بهم قفل کردن
interlock,درهم بافتن
interlocutor,هم سخن
interlocutor,طرف صحبت
interlunar,بین دوماه
interlunar,محاقی
intermediacy,میانجی گری
intermediary,وساطت کننده
intermediary,مداخله کننده
intermediate,مداخله کننده
intermediate,درمیان اینده
intermediator,واسطه
interminable,تمام نشدنی
interminable,پایان ناپذیر
intermit,نوبت داشتن
intermit,نوبت شدن
intermittent,نوبتی
intermittent,نوبت دار
intermitter,متناوب کننده
intermix,بهم مخلوط کردن
intermixable,ختلات پذیر
intermixable,اقابل اختلات
intermolecular,بین ذرات
intermolecular,بین مولکولی
intern,کار ورز
internal,داخله
internal,درونی
internal,داخلی
internal,اندرونی
internal affairs,مسائل داخلی
internal combustion,احتراق داخلی
internal combustion,درون سوز
internal medicine,طب داخلی
internal organs,احشاء
internal organs,احشا
internal use,استعمال داخلی
international,بینالملل
international,بین المللی
International Alliance,ائتلاف نین المللی
International Fair,نمایشگاه بین المللی
international law,حقوق بینالملا
International Media Office,واحد رسانه های خارجی
International Red Cross,صلیب سرخ بین المللی
internecine,کشتار متقابل
Internet,اینترنت
internet,شبکه اینترنت
internode,میان گره
interplanetary,بین الکواکب
interplanetary,بین سیارات
interposition,میانه گیری
interprative,تاویلی
interpret,تعبیر کردن
interpret,تفسیر کردن
interpret,ترجمه شفاهی کردن
interpret,ترجمه کردن
interpret,تلقی کردن
interpretation,تفسیر
interpretation,تاویل
interpretation,تعبیر
interpreter,دیلماج
interpreter,حلاج
interpreter,ترجمان
interpreter,مترجم
interpreter,مترجمان
interpreter,مترجم شفاهی
interpreter,مترجم
interpreting,تلقی
interpretive,تفسیری
interpretor of dreams,معبر
interracial,بین نژادی
interrelate,بهم ارتباط داشتن
interrelate,مناسبات مشترک داشتن
interrogate,تحت بازجویی قرار دادن
interrogate,استنطاق کردن
interrogation,استفهام
interrogation,باز خواست
interrogation,بازجویی
interrogative,ادوات استفهام
interrogative,پرسشی
interrogative,استفهامی
interrogator,پرسش کننده
interrogator,مستنطق
interrogator,مستنطق
interrogator,بازپرس
interrupt,ایجاد وقفه
interrupt condition,وضعیت وقفه
interrupted,مقطوع
interrupted,مقطع
interrupted,منقطع
interruption,ایجاد وقفه
interruption,وقفه
intersect,از هم گذشتن
intersect,تقاطع کردن
intersecting,متلاقی
intersecting,متقاطع
intersection,تقاطع
intersection,چارسوق
intersex,نر و ماده
interspace,فاصله دار کردن
interstate,بین ایالتی
interstellar,بین ستارهای
interstice,سوراخ ریز
intertweave,درهم بافته شدن
intertwine,بهم تابیدن
intertwine,درهم بافتن
intertwist,درهم مشبک کردن
interupter,معارض
interupter,معارض
interurban,داخل شهری
interval,فترت
interval,فرجه
interval,خلال
interval,اثناء
intervene,مداخله کردن
intervener,مداخله جو
intervening,حایل
interventionism,مداخله جوئی
interview,مصاحبه
interview,مصاحبه کردن
intestate,بی وصیت
intestinal,رودهای
intestinal cut,روده بر
intestine,معاء
intestine,روده
intimacy,محرمیت
intimacy,دمسازی
intimacy,صمیمیت
intimate,محرم ساختن
intimate,صمیمی
intimate,دمساز شدن
intimate,هم رائ
intimate,خودمانی
intimate,دمساز
intimate,محرم
intimately,صمیمانه
intimidate,مرعوب ساختن
intimidate,مرعوب کردن
intimidate,ارعاب کردن
intimidate,ارعابگری کردن
intimidation,ترهیب
intimidation,ارعاب
intinction,صباغی
intitule,مستحق دانستن
into,اندر
into,توی
into,در میان
into,به داخل
intolerable,طاقت فرسا
intolerable,تحمل ناپذیر
intolerance,عدم تحمل
intolerance,نابردباری
intolerance,ناشکیبایی
intolerance,عدم قبول
intolerancy,عدم قبول
intolerancy,عدم تحمل
intonation,تکیه صدا
intoxicant,مسکر
intoxicant,مکیف
intoxicant,مکیف
intoxicant,مسکر
intoxicant,مستی اور
intoxicate,کیف دادن
intoxicate,مستکردن
intoxicate,مست کردن
intoxicated,بدمست
intoxicated,سرمست
intoxicating,سکراور
intoxication,سکر
intoxication,مستی
intoxication,نشئه
intoxication,بدمستی
intracellular,درون یاختهای
intractable,ستیزه جو
intradermal,درون پوستی
intradermic,درون پوستی
intramolecular,درون ذرهای
intransigence,عدم تراضی
intransigency,عدم تراضی
intransigent,سر سخت
intransitive,فعل لازم
intrant,ورود رسمی
intrant,نفوذ کننده
intrant,مقامی میشود
intrastate,درون کشوری
intrauterine,درون زهدانی
intravascular,درون رگی
intrepid,صارم
intricacy,بغرنجی
intricacy,ریزه کاری
intricate,بغرنج
intricate,معضل
intricate,تو در تو
intricate questions,معضلات
intrigant,انتریک چی
intrigant,فتنه جو
intriguant,انتریک چی
intriguant,فتنه جو
intrigue,دوز و کلک زدن
intrigue,دوز و کلک چیدن
intrigues,دسائس
intrinsic,فطری
intrnal,خانگی
introduce,مرسوم کردن
introduce,شناساندن
introduce,معرفی کردن
introduce,باب کردن
introduce,معرفی
introduction,معرفی رسمی
introduction,معمول سازی
introduction,مقدمه
introduction,معارفه
introduction,پیش درامد
introduction,معرفی
introduction,شناسایی
introduction,فاتحه
introduction,اشنا سازی
introductory,معارفهای
introductory,دیباچهای
introit,سرود افتتاحیه
intromission,مواد الحاقی
intromit,جا دادن
introspect,درخود فرورفتن
introspect,بخود برگشتن
introspect,بخود امدن
introspection,تعمق
introversion,بدرون کشیدگی
introvert,بخود متوجه کردن
introvert,بسوی درون کشیدن
intrude,پادرازی کردن
intrude,فضولانه امدن
intrude,سرزده امدن
intrude,بزور داخل شدن
intruder,فضول
intruder,مخل
intruder,مو
intruder,مزاحم
intrusion,پادرازی
intrusion,دخالت
intrusive,فرو رونده
intrusive,فضولانه
intrusive,فضول
intrusive,پادراز
intrusive,فضولانه
intuition,شهود
intuition,بصیرت
intuition,درک مستقیم
intuition,فراست
intuition,دریافت ناگهانی
intuition,اشراق
intuitive,بصیر
intuitive,حسی
intuitive,بصیری
intuitive,شهودی
inunction,مرهم گذاری
inundate,سیل زده کردن
inure,مانوس کردن
inutilty,بیاستفادگی
invade,تاخت وتاز کردن
invade,تاخت کردن
invade,تجاوز کردن
invade,تهاجم کردن
invader,تازنده
invader,متجاوز
invader,حملهکننده
invader,مهاجم
invader,متهاجم
invader,متجاوز
invading,تازنده
invaginate,غلاف کردن
invaginate,درخود گرفتن
invagination,غلاف شدگی
invalid,علیل
invalid,بی اعتبار
invalid,نامعتبر
invalid,غیر معتبر
invalidate,بی اعتبارکردن
invalidate,ناتوان کردن
invalidate,علیل کردن
invalidate,بلااثر کردن
invalidating,مبطل
invalidism,زمین گیری
invalidity,عدماعتبار
invalidity,بی اعتباری
invalidity,بطلان
invaluable,پر بها
invaluable,غیرقابل تخمین
invariability,تغییرناپذیری
invariable,نامغیر
invariable,نامغیر
invariable,نامتغیر
invariant,نامتغیر
invariant,تغییرناپذیر
invariant,نامغیر
invariant,نامغیر
invasion,تاخت و تاز
invasion,مهاجمه
invasive operation,عملیات گسترده
inveiglement,فریفتگی
invent,اختراع کردن
invent,ابداع کردن
invent,ابتکار کردن
invent lies,دروغ ساختن
invented,اختراعی
invented,من دراوردی
inventing,ابداع کننده
invention,نواورده
invention,اختراع
invention,ابداع
inventor,جاعل
inventor,مخترع
inventor,ابداع کننده
inventor,مخترع
inventor,موجد
inventor,جاعل
inventor,اختراع کننده
inventorial,سیاههای
inventory,موجودی
inventory,صورت کالا
inventory,دفتر دارائی
inventory,صورت موجودی
inventory,دفتر اموال
inventory,فهرست اموال
inventory,فهرست موجودی
inventory,سیاهه
inverse,معکوس
inverse,وارون
inverse,برعکس
inverse,معکوس
inversely,معکوسا
inversion,وارونهسازی
inversion,تقلیب
inversion,برگشتگی
inversion,واژگونی
inversion,وارونگری
invert,قلب عبارت
invert,وارو کردن
invert,سخن واژگون
invert,وارونه کردن
invert,سوء تعبیر
invert,واگردانیدن
invert,نگون کردن
invert,بالعکس کردن
invertebrata,بی مهرگان
invertebrate,غیر ذیفقار
invertebrate,بی مهره
inverted,وارو
inverted,برگشته
inverted,نگون
inverted,مقلوب
inverted,وارونه
inverted,وارونه
inverted,نگونسار
inverter,بر گرداننده
inverter,وارونگر
invest,سرمایه گذاری کردن
investigate,تحقیق کردن
investigate,تفحص کردن
investigate,تحقیقات بعمل اوردن
investigate,پژوهیدن
investigate,جستار کردن
investigate,رسیدگی کردن
investigate,تجسس کردن
investigating,متجسس
investigation,رسیدگی
investigation,تحقیق
investigation,بازپرسی
investigation,کندوکاو
investigation,غور
investigation,تفحص
investigation,وارسی
investigation,تجسس
investigation,تتبع
investigation,بازخوانی
investigator,محقق
investigator,بازجو
investigator,متجسس
investing,سرمایه گذار
investiture,اعطای نشان
investiture,اعطاء
investiture,دادنامتیاز
investment,سرمایه گذاری
investor,مضارب
investor,سرمایه گذار
inveterate,سر سخت
inveterate,ریشه کرده
invidious,منزجر کننده
invidious,نفرت انگیز
invigorate,نیرو دادن
invigorate,نیرو بخشیدن
invincibility,شکست ناپذیری
invincible,روئین تن
invincible,مغلوب نشدنی
invincible,شکست ناپذیر
inviolability,حرمت
inviolable,غصب نکردنی
inviolate,غصب نشدنی
invisibility,ناپدیدی
invisible,غیرقابل مشاهده
invisible,ناپیدا
invisible,ناپدید
invisible,غیر مرئی
invisible,غیر محسوس
invisible,غیبی
invisible,غیرقابل تشخیص
invisible,نا مرئی
invisible,غیب
invisible,نامرئی
invitation,صلا
invitation,دعوت
invitation,وعده خواهی
invitation,وعدهگیری
invitation letter,دعوت نامه
invite,دعوت کردن
invite,صلا در دادن
invite,وعده گرفتن
invite,دعوت به عمل امدن
invite,فراخواندن
invite,فرا خواندن
invite,مهمان کردن
invite offers,بمزایده گذاشتن
invited,طلبیده
invitee,مدعو
invoice,فاکتور
invoice,فاکتور نوشتن
invoice,صورت حساب
invoice,سیاهه
involuntary,غیر عمدی
involuntary,غیر ارادی
involuntary,بی اختیار
involute,پیچدار
involute,پیچدار شدن
involute,تو در تو
involution,عود چیزی
involution,کردن عبارت
involution,عود مرض
involve,درگیر کردن
involve,گرفتار شدن
involve,گرفتار کردن
involve,گرفتار ساختن
involve in,دچار کردن
involved,دامنگیر
involved,دچار
involved,دامن گیر
involved,درگیر
involved,در گیر
involved,گرفتار
involved,دوچار
involved,مورد بحث
involved in,درگیر در
involved in,دستاندر کار
involvement,درگیری
involvement,دوچاری
involvement,گرفتاری
involvement,دچاری
involvement,طرفیت
involving,متضمن
invulnerable,اسیب ناپذیر
invulnerable,زخم ناپذیر
invulnerable,شکست ناپذیر
inward,داخل رونده
inward light,نور باطنی
inward light,نور داخلی
inweave,باهم بافتن
inweave,درهم بافتن
inwrought,نقشه دار
iodize,یود تزریق کردن
iodous,یودی
ion,یون
ion,ایون
ionic,یونی
ionic,وابسته به یون الکتریکی
ionic,زبان قدیمی مردم ایونی یونان
ionize,بهیون تجزیهکردن
ionize,تبدیل بهیون کردن
ionosphere,یون کره
iota,ایوتا
Iowa,ایوا
Iquique,اکیکه
Iraj,ایرج
Iran,ایران
Iran Ministry of Foreign Affairs,وزارت خارجه ایران
Iran's Islamic revolution,انقلاب اسلامی ایران
Iran-Dokht,ایراندخت
iranian,وابسته به ایران
Iranian,فارسی
Iranian,ایرانی
Iranian,ایرانی
Iranian acre,جریب
Iranian Students Press,خبرگزاری دانشجویان ایران
Iraq,عراق
Iraq National Conference,کنفرانس ملی عراق
Iraqi,عراقی
Iraqi,عراقی
iraqi,وابسته به عراق
Iraqi authorities,مسئولان عراقی
Iraqi National Guard,گارد ملی عراق
Iraqi opposition groups,گروه های مخالف عراقی
irascible,تند مزاج
irascible,تند طبع
irascible,زود غضب
Ireland,ایرلند
ireversible,لغو نشدنی
iris,عنبیه
iris of the eye,عنبیه
Irish,ایرلندی
irksome,کسل کننده
IRNA,ایرنا
IRNA,خبرگزاری جمهوری اسلامی
iron,اتو
iron,اهن
iron,حدید
iron,اهن پوش کردن
iron,اتو زدن
iron,اطو
iron,اتو کردن
iron age,عصر اهن
iron bands,اهن جامه
iron collar,غل
iron foundry,کارخانه ذوب اهن
iron will,اراده محکم
ironbound,نجیر شده
ironclad,اهن پوش
ironer,اتو کش
ironic,طعنهامیز
ironic,طعنهای
ironmonger,فروشنده اهن الات
ironmongery,اهنفروشی
ironsmith,اهنگر
ironsmith,اهنکر
ironstone,سنگ اهن
ironware,فلز الات
ironware,ظروف اهنی
ironware,اهنالات
ironware,ظروف سخت
ironwood,دمیر اغاجی
ironwork,اهنکاری
ironworker,اهنساز
ironworks,اهنریزی
irony,طعن
irradiate,نور افکندن
irradiation,پرتو افکنی
irrational,غیر عقلی
irrational,غیر عقلانی
irrational,جذر اسم
irrational,غیر منطقی
irrational,بی منطق
irrational number,عدد اصم
irreclaimable,درست نشدنی
irreconcilable,اصلاح ناپذیر
irreconcilable,سازش ناپزیر
irreconcilable,جور نشدنی
irreconcilable,اشتی ناپذیر
irrecoverable,لاوصول
irredenta,جبران نشده
irreducible,ناکاستنی
irreducible,سادهنشدنی
irreflexible,قیر قابل انعکاس
irreflexible,عیر قابل انعکاس
irreflexive,بدونبازتاب
irrefrangible,غیرقابل تجزیه
irregardless,صرفنظر از
irregular,بی نظم
irregular,خلاف رویه
irregular,نا مرتب
irregular,بی ترتیب
irregular,بیرویه
irregular,بی حساب
irregular,بی رویه
irregular,بی قاعده
irregular,بدون قاعده
irregular,خاج از قاعده
irregular,غیر معمولی
irregular,منحرف
irregular,نادورهای
irregular,هپلی هپو
irregular,یبس
irregular,مکسر
irregular,غیر عادی
irregularity,یبوست
irregularity,بی نظمی
irregularity,بی قاعدگی
irregularity,بی حسابی
irregularity,بی ترتیبی
irregularity,نا منظمی
irrelative,نا مناسب
irrelative,نا مربوط
irrelevance,بی موردی
irrelevance,نا مربوطی
irrelevance,بی مناسبتی
irrelevance,بی ربطی
irrelevance,نامربوطی
irrelevancy,نا مربوطی
irrelevant,بی ارتبات
irrelevant,بی مورد
irrelevant,نا مربوط
irrelevant,بی ربط
irrelevant,نامربوط
irrelevant,خارج از موزوء
irrelevant,بی مناسبت
irreligion,لامذهبی
irreligion,بد کیشی
irreligious,بدائین
irreligious,بی دیانت
irreligious,بدکیش
irreligious,هر هری
irreligious,بد کیش
irreligious,لامذهب
irreligious,از دین برگشته
irreligious,بی دین
irreligious,بدمذهب
irreligous,لامذهب
irremediable,چاره ناپذیر
irremediable,علاج ناپذیر
irremovable,برداشتهنشدنی
irreparable,جبران ناپذیر
irreparable,بی کفاره
irreparable,خوب نشدنی
irreparable,مرمت ناپذیر
irrepealable,فسخ نکردنی
irreplaceable,غیر منقول
irreplaceable,بی عوض
irrepressible,منع ناپذیر
irrepressible,مطیع نشدنی
irrepressible,جلوگیری نکردنی
irreproachable,ملامت نکردنی
irreproachable,سرزنش نکردنی
irresistibility,مقاومت ناپذیری
irresoluble,غیرمحلول
irresoluble,رها نشدنی
irresoluble,ازاد نشدنی
irresolute,بی عزم
irresolute,غیر مصمم
irresolute,وسواسی
irresolute,بی اراده
irresolute,بی تصمیم
irresoluteness,بی تصمیمی
irresolution,دمدمی
irresolution,بی عزمی
irresolution,دمدمی مزاجی
irresolvable,جدا نشدنی
irresolvable,تجزیهناپذیر
irrespective,صرفنظر از
irrespirable,دمنزدنی
irresponsible,وظیفهنشناس
irretrievable,باز نیافتنی
irreverence,عدم احترام
irreversible,بر نگشتنی
irreversible,جبران ناپذیر
irreversible,بر نگرداندنی
irrevocability,برگشت ناپذیری
irrevocable,بلا عزل
irrigate,سیراب کردن
irrigate,مشروب کردن
irrigate,ابیاری کردن
irrigated,مشروب
irrigated farming,زراعت ابی
irrigation,ابیاری
irrigator,ابیار
irritability,زودخشمی
irritability,زود رنجی
irritable,زودخشم
irritant,ازارنده
irritant,سوزش اور
irritate,سوزش دادن
irritate,ازردن
irritate,رنجاندن
irritate,ازار دادن
irritate,ازرده کردن
irritated,رنجیده
irritating,برخورنده
irritating,ازار دهنده
irritating,رنجاننده
irritation,رنجش
irritation,تخرش
irritation,رنجیدگی
irritation,سوزش
irrupt,اتش فشان کردن
irruption,ایجاد ناگهانی
is there,انجاست
Isaac,اسحق
isallobar,هوا شناسی
isallobaric,هوا شناسی
isinglass,ورقه میکا
isinglass,طلق
isinglass,سریشمماهی
Islam,دین اسلام
Islam,اسلام
Islam Abad,اسلام اباد
Islamic,اسلامی
Islamic Center,مرکز اسلامی
Islamic Republic of Iran,جمهوری اسلامی ایران
Islamic Republic Revolutionary Guards,سپاه پاسداران
Islamic Republic's News Agency,خبرگزاری جمهوری اسلامی
islamic revolution,انقلاب اسلامی
Islamic Shoura,مجلس شورا
Islamic Shoura Council,مجلس شورای اسلامی
Islamic world,جهان اسلام
island,جزیره دار کردن
island,جزیره
island,ابخست
islander,جزیره نشین
islands,جزایر
isle,جزیره
ISNA,ایسنا
isobar,هم فشار
isobare,هم فشار
isochromatioc,متساوی اللون
isochromatioc,منحنی همرنگ
isoclinal,هم خواب
isocline,همشیب
isocline,همشیب
isodiametric,هم اندازه
isodose,همشعاع
isodose,همتابش
isogamete,جورگان
isogamete,هم گامیت
isogamete,جورگان
isogamy,جورگانی
isogony,همرشدی
isolate,منفرد کردن
isolate,منزوی کردن
isolated,متروک
isolation,کناره جوی
isolation,جدایی
isolation,انزوا
isolationism,انزواگرائی
isolationist,کناره جو
isomer,ایزومر
isomer,هم پار
isomerous,همفرمول
isomerous,همترکیب
isometric,هم اندازه
isometric,هممتر
isometropia,همدیدی
isomorphism,هم ریختی
isomorphous,همریخت
isopiestic,هم فشار
isopleth,هم چند
isopods,جورپایان
isosceles,متساوی الاساقین
isotepra,جوربالان
isotherm,متحدالحراره
isotonic,هم توان
isotonic,همکشش
isotope,جسم ایزوتوپ
isotope,ایزوتوپ
isotropic,همگرای
Israel,اسراییل
Israeli,اسراییلی
Israeli,اسراییلی
issuable,قابل صدور
issuable,صادر کردنی
issuable,انتشار دادنی
issuance,صدور
issuance of decree,ابلاق حکم
issuant,صادر کننده
issuant,منتشر شونده
issuant,منتشر کننده
issue,شماره
issue,نتیجه بحث
issue,موضوع
issued decrees,احکام صادره
issuer,صادر کننده
issues,مطالب
Istanbul,استانبول
isthmian,گردنهای
isthmian,تنگهای
isthmic,گردنهای
isthmic,تنگهای
it,ان
it,این
it is feared,بیم ان میرود
it is over with her,کارش ساخته است
it is over with him,کارش ساخته است
it is worth nothing,به مفت هم نمی ارزد
it seem,به نظر رسیدن
it seems,به نظر می رسد
it suggests,امده است
Italian,ایتالیائی
Italian,ایتالیائی
Italy,ایتالیا
itch,جرب
itch,خنش
itch,خارش کردن
itch,خاریدن
itching,خارش
itching,خنش
itching,حکه
itchthyolatry,ماهی پرستی
Itefaghia,اتفاقیه
item,فقره
item,کالا
item,رقم
items,اقلام
items,فقرات
iterant,ازسر گیرنده
iterant,مکرر کننده
iterant,بازگو کننده
iteration,ازسرگیری
itineracy,سیاری
itinerancy,سیاری
itinerary,سفرنامه
itinerary,برنامه سفر
itinerate,مسافرت تبلیغاتی کردن
itinerate,سیار بودن
its,این
its,مال او
its,مال ان
its,ان
itself,خودش
ivory,عاجی
ivory,عاج
ivory,عاجی
Ivory Coast,ساحل عاج
ivory tower,محل دنج
ivy,پیچک
Iyad Allawi,ایاد علاوی
izan,اذان
jaber,گپ زنی
jacal,چپر
jacinthe,نارنجی روشن
jack,جک زدن
Jack,جک
jack,جک
jack in the box,علی ورجه
Jack Nocholson,جک نیکولسن
jack of all trades,هر کاره
Jack Straw,جک استراو
jackal,شغال
jackass,نره خر
jackass,خر نر
jackdaw,زاغچه
jacket,ژاکت
jacket,نیمتنه
jacket,درپوشه گذاردن
jacket,کت
Jackson,جکسون
jackstay,بند تیر
Jacob,یعقوب
jacquerie,دهاتیان
Jacques,ژاک
Jacques Chirac,ژاک شیراک
jactation,لاف زنی
jactitation,لاف زنی
jade,ژاد
jadeite,یشم سبز
jaeger,مرد شکارچی
Jafar,جعفر
jag,ناهموار بریدن
jag,دندانهدار کردن
jag,برامدگی تیز
jag,سیخونک
jagged,دندانهدار
jagged,مضرس
jaggery,شکر زرد
Jahad,جهاد
Jahan,جهان
Jahanbxsh,جهانبخش
Jahandar,جهاندار
Jahangir,جهانگیر
Jahanpur,جهانپور
Jahanshah,جهانشاه
Jahanshir,جهانشیر
Jahiliyyah,جاهلیت
jail,محبس
jail,دستاق
jail,زندان
jailor,زندانبان
jailor,زندانبان
jailors,زندانیان
Jakarta,جاکارتا
jakes,درهم ریخته
Jalal,جلال
Jalal Abad,جلال اباد
Jalal Talebani,جلال طالبانی
jalap,داروی مسهل
Jalil,جلیل
Jalili,جلیلی
jam,مربا
jam,انباشتگی
Jamadi al Aval,جمادی الاول
Jamadi al Sani,جمادی الثانی
Jamal,جمال
Jamasb,جاماسب
jamb,لغاز
jamboree,جمبوری
jamboree,مجمع پیشاهنگان
James Clerk,جیمز کلرک
James Hall,جیمز هال
James Madison,جیمز مدیسیون
James Rubin,جیمز روبین
Jamileh,جمیله
Jamshid,جمشید
Jamshid,جم
Jan-Ali,جانعلی
Janangyr,جهانگیر
jangle,جنجال کردن
janitor,نظافت چی
janitor,مستخدم
janitor,سرایدار
janitor,فراش مدرسه
janitor,نظافتچی
janitor,مستخدم
Jannat,جنت
January,ژانویه
January,ژانویه
Japan,ژاپن
Japan Sea,دریای ژاپن
Japanese,ژاپنی
Japanese,ژاپنی
jape,لطیفه زدن
japer,لطیفه گو
japery,لطیفه گوی
jar,سبو
jar,تاپو
jar,پارچ
jar,مغایر بودن
jar,کوزه
jar,صدای ناهنجار
jar,ناجور بودن
jar,خمره
jargon,زبان زرگری
Jasim Ziad,جاسم زیاد
jasmin,گل یاسمن
Jasmine,یاس
jasmine,عبهر
jasmine,یاسمن
jasper,ژاسب
jaspery,یشمی
jaunt,سفر کوچک کردن
jaunt,مسافرت کوچک
jaunt,تفرج کردن
jaunty,خود ساز
Java,جاوه
Javad,جواد
Javaneh,جوانه
javelin,پرتاب نیزه
javelin,زوبین
javelin throw,نیزه پرانی
javelin thrower,نیزه پران
javelin thrower,نیزه پران
Javid,جاوید
jaw,ارواره
jaw,فک
jawbone,استخوان فک
jaxartes,سیر دریا
jay,زاغ کبود
Jay Barnet,جی بارنت
Jazaeri,جزایری
jazz,جاز
jealous,بارشک
jealous,حسودانه
jealous,حسود
jealous,رشک امیز
jealous,غیورانه
jealous,حسود
jealous,حسادت امیز
jealous,حسودانه
jealous,غیور
jealous,غیورانه
jealousy,حسادت
jealousy,غیرت
jealousy,رشک
jealousy,حسد
jealousy,حسودی
jean,جین
Jean,ژان
Jedda,جده
Jeep,جیپ
jeer,هو کردن
jeering,طنز
jellify,ژله مانند کردن
jellify,مثل ژله شدن
jelly,جسم ژلاتینی
jelly,ژلاتین
